School Code,School Name,Address,City,State,Zip Code,Country
5601,"ALBANY TECHNICAL COLLEGE","1704 S. SLAPPEY BOULEVARD",ALBANY,GA,31701,USA
5615,"SOUTHERN REGIONAL TECHNICAL COLLEGE","15689 US HIGHWAY 19 NORTH",THOMASVILLE,GA,31792,USA
5617,"SOUTH GEORGIA TECHNICAL COLLEGE","900 SOUTH GA TECH PARKWAY",AMERICUS,GA,31709,USA
5618,"SAVANNAH TECHNICAL COLLEGE","5717 WHITE BLUFF ROAD",SAVANNAH,GA,31405,USA
5619,"NORTH GEORGIA TECHNICAL COLLEGE","1500 HIGHWAY 197 NORTH",CLARKESVILLE,GA,30523,USA
5620,"CHATTAHOOCHEE TECHNICAL COLLEGE","980 SOUTH COBB DRIVE SE",MARIETTA,GA,30060,USA
5621,"SOUTHERN CRESCENT TECHNICAL COLLEGE","501 VARSITY ROAD",GRIFFIN,GA,30223,USA
5624,"COLUMBUS TECHNICAL COLLEGE","928 MANCHESTER EXPRESSWAY",COLUMBUS,GA,31904,USA
5763,"CENTRAL GEORGIA TECHNICAL COLLEGE","3300 MACON TECH DR",MACON,GA,31206,USA
8543,"ATLANTA TECHNICAL COLLEGE","1560 METROPOLITAN PARKWAY",ATLANTA,GA,30310,USA
8976,"CLAYTON STATE UNIVERSITY","2000 CLAYTON STATE BOULEVARD",MORROW,GA,30260,USA
9270,"ART INSTITUTE OF ATLANTA (THE)","6600 PEACHTREE DUNWOODY ROAD",ATLANTA,GA,30328,USA
9507,"GEORGIA HIGHLANDS COLLEGE","PO BOX 1864",ROME,GA,30162,USA
10487,"WEST GEORGIA TECHNICAL COLLEGE","176 MURPHY CAMPUS",WACO,GA,30182,USA
10771,"GUPTON JONES COLLEGE","5141 SNAPFINGER WOODS DR",DECATUR,GA,30035,USA
10997,"EAST GEORGIA COLLEGE","131 COLLEGE CIRCLE",SWAINSBORO,GA,30401,USA
12051,"PRO WAY HAIR SCHOOL","5684 MEMORIAL DRIVE",STONE MOUNTAIN,GA,30083,USA
12165,"ATLANTA METROPOLITAN STATE COLLEGE","1630 STEWART AVE SW",ATLANTA,GA,30310,USA
13039,"SOUTH UNIVERSITY","709 MALL BLVD",SAVANNAH,GA,31406,USA
